videoId,commentId,author,text,likes,publishedAt
sVYXzMsLEXA,UgwyO_EmZVZxWgpJHAl4AaABAg,@audiomusic45,cải lương 1 thời nổi tiếng,0,1650643738.344883
sVYXzMsLEXA,Ugwlc-cAelDj7fDfCxp4AaABAg,@khongten1491,Mê cải lương xưa giờ 👍,0,1650643738.346074
sVYXzMsLEXA,UgwQMxNUh9FbyQMkle94AaABAg,@xanhtv9986,Rất trân trọng những người thầm lặng giư gìn neta đẹp văn hóa,0,1650643738.34707
sVYXzMsLEXA,UgzKEBnw9kdrsiwQ4N94AaABAg,@thanhduongvanpham4639,nghe hay quá ạ. chúc đoàn phát truyển  và thành công ạ.,0,1650643738.348067
sVYXzMsLEXA,UgyvDnwFp6TG7s-H2wF4AaABAg,@minhhieunguyen6864,Tuyệt vời! ❤❤,0,1650643738.349032
sVYXzMsLEXA,UgzYX_lm8KBvkEaaqKp4AaABAg,@REVIEWCANHEPTAYNGUYEN,Sân khấu diễn rất hay,0,1650643738.350093
sVYXzMsLEXA,UgyzAaMSFoSmDWsVCkp4AaABAg,@khanhdo6492,Lưu lại cho mẹ nghe,0,1650643738.351117
sVYXzMsLEXA,UgyGQv7Ojw_xt5kMH0J4AaABAg,@NgocPham-nf7hm,"Nếu mà hát tuồng đung chất như tuong bình định tuong bac từ đảo kép và nhạc công nó hay co nào , giám đốc tuong này nên da

Đưa diễn viên và cán bộ đoàn tuong ra bình định để học thêm về rồi điền hát nè",0,1755878938.352539
sVYXzMsLEXA,Ugy5-Qj8K7R1r-hpLe14AaABAg,@hoangdinhbui2581,"nét văn hóa rát riêng của VN, nên đc giữ gìn và phát huy, mong bạn up nhiều clip hơn nữa",1,1650643738.353564
sVYXzMsLEXA,UgyrCuP5e-uf1sPnApp4AaABAg,@hotgirltiktok9617,Sao đoàn này e thấy lạ vậy mọi người đoàn mới ak,0,1650643738.354768
sVYXzMsLEXA,Ugz4qRt_zwT51Fekt2R4AaABAg,@Nguoivohinh-i7v,Hát bội pha cải lương có nghĩa là sao vậy hả,1,1650643743.095389
sVYXzMsLEXA,Ugx1ZZ9-uB9GKEwErBl4AaABAg,@thoanien2595,Rất tuyệt đỉnh,0,1745338143.097063
sVYXzMsLEXA,UgwLQCL63dLm9HXQAgV4AaABAg,@PhuNguyen-ek9wh,Hay quá,0,1650643743.098087
sVYXzMsLEXA,Ugyyvg-PT2Qe7xqlH1l4AaABAg,@chauphan7981,❤,0,1758557343.0994
sVYXzMsLEXA,UgxwGG2xewhvKO5NY8F4AaABAg,@ngocvitranlam5091,Hay quá,0,1650643743.100435
i2KTUrkbRRs,UgwRjdmXuaX9Pnzbnk54AaABAg,@TúNguyễn-u4h1l,Kính lạy quan thánh đế quân quan châu quan bình phật lục ngũ công vương phật,4,1750608544.720016
i2KTUrkbRRs,UgxjD0VK_WPYW4__sVV4AaABAg,@Lawan420,"Chưa giải thích được tại sao .  Có thêm 1 chi tiết mà k thấy nhắc tới, Quan Công nhắm và mở mắt, thường thì thờ tượng nhắm mắt vì Quan Công mở mắt là thấy người chết",4,1747930144.721752
i2KTUrkbRRs,Ugw1ikqfR1Re4wPVtUZ4AaABAg,@LeThai-y9v,Thích ❤❤❤,2,1747930144.723217
